Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Ifako Ijaye Abule Egba Lagos,"1,000,000/year","  Updated 02 Feb 2023, Added 11 Nov 2022 "," FOR RENT: TO LET.. OGBA Brand new Mini Flat with 2toilet,1bath P.O.P,water heater, big.. Read more ",,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"800,000/year","  Updated 02 Feb 2023, Added 14 Jan 2023 ", FOR RENT: SHARE APARTMENT AT CHEVRON MASTER BEDROOM RENT 1.4M OTHERS UPSTAIRS RENT.. Read more ,Newly Built,1 beds1 baths1 Toilets
Off Jonanthan Coker Road Fagba Ifako Ijaiye Iju Lagos,"3,000/year","  Updated 02 Feb 2023, Added 26 Apr 2022 ", FOR RENT: Big Office complex of 2storey building off Jonathan Coker Fagba Ifako Ijaiye. #3.. Read more ,,0 beds0 baths0 Toilets
Abayomi Shonuga Close Lekki Phase 1 Lekki Lagos,"50,000/sqm","  Updated 02 Feb 2023, Added 13 Nov 2022 ", FOR RENT: *Now Letting!* (Direct brief) Ultra-modern Office Building on 4fooors measur.. Read more ,ServicedNewly Built,0 beds0 baths0 Toilets
Itele Ayobo Ipaja Lagos,"350,000/year","  Updated 02 Feb 2023, Added 12 Aug 2022 ", FOR RENT: Newly built 2 bedroom flat flat pop ceiling all tiles floor no landlord big comp.. Read more ,,0 beds0 baths0 Toilets
Awolowo Way Ikeja Lagos,"1,000,000/year","  Updated 02 Feb 2023, Added 19 Apr 2022 "," FOR RENT: Superb and Spacious Office Space, well tiled all round, upstairs along Awolowo w.. Read more ",,0 beds0 baths0 Toilets
Off Ogombo Road By Abraham Adesanya Estate Lekki Scheme 2 Ajah Lagos,"2,500,000/year","  Updated 02 Feb 2023, Added 29 Dec 2022 ", FOR RENT: Newly Built 2 Bedroom Apartment with Necessary Facilities. Location: Lekki.. Read more ,,2 beds2 baths3 Toilets
Walkable Distance To Mangoro Bustop Ikeja Lagos,"1,400,000/year","  Updated 02 Feb 2023, Added 21 Jan 2023 ", FOR RENT: Newly built 3 bedroom upstairs with separate Staircase just 2 in the compound an.. Read more ,FurnishedNewly Built,3 beds3 baths3 Toilets
Iff Gerald Road Gerard Road Ikoyi Lagos,"12,000,000/year","  Updated 02 Feb 2023, Added 30 Dec 2022 ", FOR RENT: 3bedroom Apartment First floor Rent price : 12M Agency: 10% Legal: 10% Ca.. Read more ,,3 beds4 baths4 Toilets
Itele Close To Ayobo Ipaja Lagos,"200,000/year","  Updated 02 Feb 2023, Added 29 Jan 2023 ", FOR RENT: Neat renovated mini flat all tiles floor with wardrobe 9ice kitchen with cabinet.. Read more ,,1 beds1 baths1 Toilets
Victoria Island Lagos,"100,000/year",  Added 01 Feb 2023 , FOR RENT: AVAILABLE FOR RENTAL IN VICTORIA ISLAND LAGOS :- (LUXURY 3 & 4 BED PENTHOUSE APA.. Read more ,Serviced,4 beds4 baths5 Toilets
Orchid Hotel Eleganza Junction Lekki Lagos,"900,000/year",  Added 01 Feb 2023 , FOR RENT: If u want to chill in paradise on earth with digital neighbors orchid view offer.. Read more ,FurnishedServicedNewly Built,4 beds6 baths6 Toilets
Victoria Island Lagos,"35,000/year",  Added 01 Feb 2023 , FOR RENT: AVAILABLE FOR RENTAL IN VICTORIA ISLAND LAGOS :- (LUXURY 3 & 4 BED PENTHOUSE APA.. Read more ,,4 beds4 baths5 Toilets
Ikoyi Lagos,"10,500,000/year",  Added 01 Feb 2023 , FOR RENT: 2 bedroom waterfront furnished flat of bourdillion ikoyi rent 10.5m Rent 10.5m .. Read more ,Furnished,2 beds0 baths0 Toilets
Sangotedo Ajah Lagos,"1,300,000/year",  Added 01 Feb 2023 , FOR RENT: 2 bedroom Flat / Apartment for rent Sangotedo Ajah Lagos.. Read more ,,2 beds0 baths3 Toilets
Sangotedo Ajah Lagos,"1,300,000/year",  Added 01 Feb 2023 , FOR RENT: Sweet 2 bedroom apartment in a tid road very close to road. 247 light. Security .. Read more ,,2 beds0 baths3 Toilets
Sangotedo Ajah Lagos,"1,300,000/year",  Added 01 Feb 2023 , FOR RENT: 2 bedroom Flat / Apartment for rent Sangotedo Sangotedo Ajah Lagos.. Read more ,,2 beds0 baths3 Toilets
Amuwo Odofin Amuwo Odofin Lagos,"1,500,000/year",  Added 01 Feb 2023 , FOR RENT: 3 toilets Walk-in closet Dinning area Serene environment .. Read more ,,2 beds3 baths3 Toilets
Off Transformer Bucknor Bucknor Isolo Lagos,"600,000/year",  Added 01 Feb 2023 , FOR RENT: Tastefully Newly built standard 2bedroom flat. In a serene location All rooms e.. Read more ,Newly Built,2 beds3 baths3 Toilets
Opposite Mobil Isheei Bucknor Isolo Lagos,"750,000/year",  Added 01 Feb 2023 , FOR RENT: Tastefully Newly built standard 2bedroom flat. In a serene location All rooms e.. Read more ,Newly Built,2 beds3 baths3 Toilets
