Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Isheri Olofin Alimosho Lagos,"1,100,000/year","  Updated 19 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Nice Exquisite 3 Bedroom Duplex for rent.. Features All round tiles Two r.. Read more ,,3 beds0 baths0 Toilets
Cele Ijesha Bus Stop Ijesha Surulere Lagos,"5,000,000/year","  Updated 19 Feb 2023, Added 05 Dec 2022 ", FOR RENT: SUPERMARKET/BANKING HALL FOR LEASE AT CELE-IJESHA BUS STOP NEWLY RENOVATED .. Read more ,,0 beds0 baths0 Toilets
Meiran Alimosho Lagos,"500,000/year","  Updated 19 Feb 2023, Added 30 Jan 2023 "," FOR RENT: Beautiful 2 Bedroom ensuite, pop fittings, Waldrop in all rooms pay and pack in... Read more ",,2 beds0 baths0 Toilets
Shoprite Monastery Road Sangotedo Lagos,"18,000,000/year","  Updated 19 Feb 2023, Added 12 Jan 2023 ", FOR RENT: *Juicy Offer* House For Lease A massive five (5) bedroom duplex in front a.. Read more ,,10 beds10 baths10 Toilets
P&t Estate Ipaja Lagos,"800,000/year","  Updated 19 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 2 bedroom flat apartment all rooms en-suit full pop wardrobe Italian tiles ample.. Read more ,,2 beds0 baths0 Toilets
Command Ipaja Lagos,"350,000/year","  Updated 19 Feb 2023, Added 07 Feb 2023 ", FOR RENT: To Let Decent Mini Flat Fence Gate Water All round tiles Floored Compound .. Read more ,,1 beds0 baths0 Toilets
New Oko Oba Abule Egba Lagos,"1,200,000/year","  Updated 19 Feb 2023, Added 19 Jan 2023 ", FOR RENT: Executive newly built 2 bedroom duplex and 2 bedroom flats in the same compound... Read more ,,2 beds0 baths0 Toilets
Estate Oregun Ikeja Lagos,"1,500,000/year","  Updated 18 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Newly renovated 3 bedroom apartment in a gated close in oregun .. Read more ,Newly Built,3 beds3 baths3 Toilets
Estate Toyin Street Ikeja Lagos,"2,000,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 ", FOR RENT: Lovely 2 bedroom apartment in gated close off Toyin street. Enough parking spa.. Read more ,Newly Built,2 beds2 baths2 Toilets
Ajayi Road Ogba Lagos,"1,600,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 "," FOR RENT: A fully functioning 22 rooms hotel with steady power supply, a club house, a lar.. Read more ",Newly Built,10 beds10 baths10 Toilets
Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
Heart Of Victoria Island Victoria Island Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 ", FOR RENT: 4 bedroom House for rent Heart Of Victoria Island Victoria Island Lagos Caution.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
Chevron Toll Gate Orchid Chevron Lekki Lagos,"3,800,000",  Added 18 Feb 2023 ," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos???.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Toll Gate Orchid Chevron Lekki Lagos,"6,500,000",  Added 18 Feb 2023 ," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid , Lagos?????? Re.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"6,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",Newly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"3,800,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bedroom, 4 Baths Orchid, Lekki, Lagos 3.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"6,000,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 ", FOR RENT: FULLY FURNISHED 4 BEDROOM SEMI- DETACHED DUPLEX FOR RENT!!! Location: Chevro.. Read more ,,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 31 Jan 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos Ren.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Chevron Toll Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 07 Dec 2022 ", FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT Price: N5m per annum Other Charge.. Read more ,ServicedNewly Built,0 beds5 baths5 Toilets
Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Life Camp Abuja,"22,500,000","  Updated 19 Feb 2023, Added 30 Jan 2023 ", FOR SALE: A fully automated 4 bedroom flat in the heart of Lifecamp located in a serene en.. Read more,,4 beds5 baths5 Toilets
Osapa London Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 21 Nov 2022 ", FOR RENT: To Let Beautiful Built 4 Bedroom Semi Detached Duplex Rent: N6.5M Agent.. Read more ,Newly Built,4 beds5 baths5 Toilets
Old Ikoyi Ikoyi Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 15 Feb 2023 ", FOR RENT: 3 Bedroom Apartment For Rent. DETAILS >>>> Ikoyi N15M per annum Othe.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
Ikota Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Ikota, Lagos Rent: 4.5.. Read more ",Newly Built,4 beds5 baths5 Toilets
"Off Banana Island Road, Directly Facing The Banana Island Gate Banana Island Ikoyi Lagos","18,000,000/year","  Updated 18 Feb 2023, Added 15 Dec 2022 ", FOR RENT: Spacious 5-bedroom semi-detached duplex with a bq N18M (2 years advance requ.. Read more ,Serviced,5 beds6 baths6 Toilets
Ikate Lekki Lagos,"7,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
Ikota Lekki Lagos,"3,000,000","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT Location: Ikota , Lagos Price: 3m per annum Other Cha.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 12 Dec 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki, Lagos.. Read more ",Serviced,4 beds5 baths5 Toilets
Idado Lekki Lagos,"3,500,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 "," FOR RENT: 3 Bedroom Apartment for Rent — 3 Bed, 3 Baths Idado, Lekki, Lagos ?3,500.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
Ikota Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 07 Nov 2022 "," FOR RENT: Executively finished 4 bedrooms fully detached duplex Location- Ikota, Lekki.. Read more ",Newly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 08 Jan 2023 ", FOR RENT: TO LET 4 BEDROOM FULLY DETACHED DUPLEX FOR RENT!! Price: N4.5M Other Ch.. Read more ,Newly Built,4 beds5 baths5 Toilets
Osapa London Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 25 Jan 2023 ", FOR RENT: FOR RENT !!! 3 BEDROOM SERVICED APARTMENT FOR RENT !!! Location: Osapa Lond.. Read more ,Serviced,3 beds4 baths4 Toilets
Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
Ikate Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 ", FOR RENT: FOR RENT!!! 2 BEDROOM SERVICED APARTMENT FOR RENT!!! Location: Ikate Rent: .. Read more ,ServicedNewly Built,2 beds3 baths3 Toilets
Chevron Lekki Lagos,"5,500,000/year","  Updated 18 Feb 2023, Added 13 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",,4 beds5 baths5 Toilets
Victoria Island Lagos,"20,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 4 BEDROOM TERRACE DUPLEX IN VICTORIA ISLAND Location - Victoria Island Listi.. Read more ,FurnishedNewly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 14 Nov 2022 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bedroom, 4 Baths Orchid, Lekki, Lago.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Idado Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 ", FOR RENT: FULLY SERVICED 3 BEDROOM APARTMENT WITH A BQ (penthouse) IDADO LEKKI REN.. Read more ,Serviced,3 beds4 baths4 Toilets
Chevron Toll Gate Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 19 Oct 2022 ", FOR RENT: TO LET Newly built and spacious 4 bedroom terrace duplex with fitted kitchen.. Read more ,,0 beds5 baths5 Toilets
Ikate Lekki Lagos,"8,500,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikate, Lekki, Lag.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Jakande Lekki Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Wow 4 BEDROOM TERRACE APARTMENT WITH 2 BALCONIES AND A POOL 4 BEDROOMS WITH .. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
Orchid Chevron Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 ", FOR RENT: 4 BEDROOM FULLY DETACHED DUPLEX with BQ and Study Room FOR RENT Location: Orc.. Read more ,FurnishedNewly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"85,000,000","  Updated 19 Feb 2023, Added 07 Sep 2022 ", FOR SALE: Features: - All Rooms Ensuite - Spacious Compound - Fitted Kitchen - Stampe.. Read more,,4 beds4 baths4 Toilets
Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Ikate ,Lagos Price: 5m per annum .. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Ajah Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Detached Duplex for Rent — 4 Bed, 4 Baths Ajah, Lekki, Lagos .. Read more ",,4 beds5 baths5 Toilets
Vgc Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths VGC, Lekki, Lagos.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Agungi Lekki Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 ", FOR RENT: TO LET Newly built and Spacious 5 bedroom Fully detached duplex with fitted .. Read more ,Newly Built,5 beds6 baths6 Toilets
Chevron Toll Gate Chevron Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 29 Jan 2023 "," FOR RENT: 5 BEDROOM FULLY DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lagos?????? R.. Read more ",Newly Built,5 beds6 baths6 Toilets
Lekki Palm City Ajah Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 16 Jan 2023 "," FOR RENT: 4 BEDROOM DETACHED DUPLEX FOR RENT !!! Location: Ajah, Lagos Price: 4m per .. Read more ",Newly Built,4 beds5 baths5 Toilets
Ajah Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 08 Nov 2022 "," FOR RENT: 4 bedroom detached duplex with bq, spacious rooms in a well Serene environment i.. Read more ",Newly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 03 Feb 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT !!! Location: Chevron, Lagos Price: 5m pe.. Read more ",Serviced,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 23 Jan 2023 "," FOR RENT: 3 BEDROOM FLAT WITH BQ FOR RENT !!! Location: Chevron , Lagos Price: 3m Per .. Read more ",Serviced,3 beds4 baths4 Toilets
