Location,Description,Listing_Type,Price,Beds,Baths,Toilets,City,Location_Area,Newly Built,Furnished,Serviced,Date_Added,Date_Updated
Chevron Toll Gate Orchid Chevron Lekki Lagos," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid , Lagos?????? Re.. Read more ",Rent,6500000.0,4.0,4.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-02-18,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",Rent,6000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2022-12-12,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bedroom, 4 Baths Orchid, Lekki, Lagos 3.. Read more ",Rent,3800000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-12,2023-02-18
Chevron Lekki Lagos, FOR RENT: FULLY FURNISHED 4 BEDROOM SEMI- DETACHED DUPLEX FOR RENT!!! Location: Chevro.. Read more ,Rent,6000000.0,4.0,5.0,5.0,Lekki,Island,0.0,0.0,0.0,2023-01-12,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos Ren.. Read more ",Rent,4000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-31,2023-02-18
Chevron Toll Chevron Lekki Lagos, FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT Price: N5m per annum Other Charge.. Read more ,Rent,5000000.0,0.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2022-12-07,2023-02-18
Ikate Lekki Lagos," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",Rent,5000000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2023-01-26,2023-02-18
Osapa London Lekki Lagos, FOR RENT: To Let Beautiful Built 4 Bedroom Semi Detached Duplex Rent: N6.5M Agent.. Read more ,Rent,6500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2022-11-21,2023-02-18
Old Ikoyi Ikoyi Lagos, FOR RENT: 3 Bedroom Apartment For Rent. DETAILS >>>> Ikoyi N15M per annum Othe.. Read more ,Rent,15000000.0,3.0,4.0,4.0,Ikoyi,Island,1.0,0.0,1.0,2023-02-15,2023-02-18
Ikota Lekki Lagos," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Ikota, Lagos Rent: 4.5.. Read more ",Rent,4500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-02-02,2023-02-18
"Off Banana Island Road, Directly Facing The Banana Island Gate Banana Island Ikoyi Lagos", FOR RENT: Spacious 5-bedroom semi-detached duplex with a bq N18M (2 years advance requ.. Read more ,Rent,18000000.0,5.0,6.0,6.0,Ikoyi,Island,0.0,0.0,1.0,2022-12-15,2023-02-18
Ikate Lekki Lagos," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",Rent,7000000.0,3.0,4.0,4.0,Lekki,Island,1.0,0.0,1.0,2023-01-26,2023-02-18
Ikota Lekki Lagos," FOR RENT: 2 BEDROOM APARTMENT Location: Ikota , Lagos Price: 3m per annum Other Cha.. Read more ",Rent,3000000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2023-01-29,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki, Lagos.. Read more ",Rent,4000000.0,4.0,5.0,5.0,Lekki,Island,0.0,0.0,1.0,2022-12-12,2023-02-18
Idado Lekki Lagos," FOR RENT: 3 Bedroom Apartment for Rent — 3 Bed, 3 Baths Idado, Lekki, Lagos ?3,500.. Read more ",Rent,3500000.0,3.0,4.0,4.0,Lekki,Island,1.0,0.0,1.0,2023-02-13,2023-02-18
Ikota Lekki Lagos," FOR RENT: Executively finished 4 bedrooms fully detached duplex Location- Ikota, Lekki.. Read more ",Rent,5000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2022-11-07,2023-02-18
Ikota Lekki Lagos, FOR RENT: TO LET 4 BEDROOM FULLY DETACHED DUPLEX FOR RENT!! Price: N4.5M Other Ch.. Read more ,Rent,4500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,0.0,2023-01-08,2023-02-18
Osapa London Lekki Lagos, FOR RENT: FOR RENT !!! 3 BEDROOM SERVICED APARTMENT FOR RENT !!! Location: Osapa Lond.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-01-25,2023-02-18
Ikate Lekki Lagos, FOR RENT: FOR RENT!!! 2 BEDROOM SERVICED APARTMENT FOR RENT!!! Location: Ikate Rent: .. Read more ,Rent,4000000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2023-02-02,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki,.. Read more ",Rent,5500000.0,4.0,5.0,5.0,Lekki,Island,0.0,0.0,0.0,2022-12-13,2023-02-18
Victoria Island Lagos, FOR RENT: 4 BEDROOM TERRACE DUPLEX IN VICTORIA ISLAND Location - Victoria Island Listi.. Read more ,Rent,20000000.0,4.0,5.0,5.0,Victoria Island,Island,1.0,1.0,0.0,2023-02-10,2023-02-18
Chevron Lekki Lagos," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bedroom, 4 Baths Orchid, Lekki, Lago.. Read more ",Rent,4500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2022-11-14,2023-02-18
Idado Lekki Lagos, FOR RENT: FULLY SERVICED 3 BEDROOM APARTMENT WITH A BQ (penthouse) IDADO LEKKI REN.. Read more ,Rent,3000000.0,3.0,4.0,4.0,Lekki,Island,0.0,0.0,1.0,2023-01-11,2023-02-18
Chevron Toll Gate Chevron Lekki Lagos, FOR RENT: TO LET Newly built and spacious 4 bedroom terrace duplex with fitted kitchen.. Read more ,Rent,4000000.0,0.0,5.0,5.0,Lekki,Island,0.0,0.0,0.0,2022-10-19,2023-02-18
Ikate Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Ikate, Lekki, Lag.. Read more ",Rent,8500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-02-13,2023-02-18
Jakande Lekki Lagos, FOR RENT: Wow 4 BEDROOM TERRACE APARTMENT WITH 2 BALCONIES AND A POOL 4 BEDROOMS WITH .. Read more ,Rent,8000000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-02-08,2023-02-18
Orchid Chevron Lekki Lagos, FOR RENT: 4 BEDROOM FULLY DETACHED DUPLEX with BQ and Study Room FOR RENT Location: Orc.. Read more ,Rent,6500000.0,4.0,5.0,5.0,Lekki,Island,1.0,1.0,0.0,2023-02-14,2023-02-18
Ikate Lekki Lagos," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Ikate ,Lagos Price: 5m per annum .. Read more ",Rent,5000000.0,2.0,3.0,3.0,Lekki,Island,1.0,0.0,1.0,2023-01-29,2023-02-18
Ajah Lagos," FOR RENT: 4 Bedroom Detached Duplex for Rent — 4 Bed, 4 Baths Ajah, Lekki, Lagos .. Read more ",Rent,5000000.0,4.0,5.0,5.0,Ajah,Island,0.0,0.0,0.0,2023-01-09,2023-02-18
Vgc Lekki Lagos," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths VGC, Lekki, Lagos.. Read more ",Rent,4500000.0,4.0,5.0,5.0,Lekki,Island,1.0,0.0,1.0,2023-01-09,2023-02-18
