,Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
3741,Lekki Lagos,"3,800,000/year","  Updated 13 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Rent Alert 4 Bedroom Terrace Duplex Location: Orchid Rent: 3.8Million.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
3742,Ikota Lekki Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Rent alert now in megamond estate Lekki counting *Semi masters room with spec.. Read more ,,0 beds0 baths0 Toilets
3743,By Abraham Adesanya Estate Lekki Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 ", FOR RENT: DIRECT BRIEF FOR RENT 2 Bedroom Apartment For Rent at Lekki Peninsula Sche.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
3744,Mangoro Ikeja Lagos,"6,000,000","  Updated 13 Feb 2023, Added 04 Sep 2022 ", FOR RENT: Standard commercial Wearhouse with mini flat office space good for storage produ.. Read more ,, beds baths Toilets
3745,Estate Sangotedo Ajah Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 18 Jan 2023 ", FOR RENT: Well maintained 3bedroom flat Sangotedo Ajah *Grounds floor Rent is 1.2m Ag.. Read more ,,3 beds3 baths4 Toilets
3746,Agungi Lekki Lagos,"550,000/year","  Updated 13 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Now Out in Greenville estate agungi *Nice self contain with it own kitchen an.. Read more ,,0 beds0 baths0 Toilets
3747,Bode Thomas Surulere Lagos,"4,000,000/year","  Updated 13 Feb 2023, Added 27 Jan 2023 "," FOR RENT: A decent 4bedroom terrace duplex With all en-suite, tiles, wardrobes, kitchen c.. Read more ",Serviced,4 beds4 baths5 Toilets
3748,Phase 2 Gbagada Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 ", FOR RENT: A Modern Cosy 3 bedrooms semi detached duplex (self compound no BQ) all ensuite .. Read more ,,3 beds3 baths4 Toilets
3749,Ikota Lekki Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 ", FOR RENT: Newly built Apartment .. Read more ,Newly Built,2 beds3 baths3 Toilets
3750,Imota Ikorodu Lagos,"1,800,000","  Updated 19 Feb 2023, Added 14 Sep 2022 "," FOR SALE: 600 Sqm Land available for sale at Imota, Ikorodu. Documents - Deed of Assignm.. Read more",,0 beds0 baths0 Toilets
3751,Ikota Lekki Lagos,"850,000/year","  Updated 13 Feb 2023, Added 06 Feb 2023 ", FOR RENT: This is the room downstairs it comes with the furniture inside Rent 850k Agen.. Read more ,,0 beds0 baths0 Toilets
3752,Sangotedo Ajah Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 ", FOR RENT: 2 bedroom Flat / Apartment for rent Sangotedo Peace Estate Sangotedo Ajah Lagos.. Read more ,FurnishedNewly Built,2 beds3 baths3 Toilets
3753,Platinum Way Jakande Lekki Lagos,"1,800,000/year","  Updated 13 Feb 2023, Added 21 Jan 2023 ", FOR RENT: 2 bedroom flat for rent in platinum way Jakande Rent 1.8m Service charge 150.. Read more ,Serviced,2 beds2 baths2 Toilets
3754,Emmanuel Ketu Lagos,"1,300,000/year","  Updated 13 Feb 2023, Added 02 Feb 2023 ", FOR RENT: newly built 2 bedroom flat at alapere close to alapere roundabout in a gated st.. Read more ,,2 beds3 baths3 Toilets
3755,Igbo Efon Lekki Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Large nice 3 bedroom flat available for rent Rent 2m Legal 200 Agency 200 C.. Read more ,,3 beds3 baths4 Toilets
3756,Off Emma Abimbola Lekki Phase 1 Lekki Lagos,"6,000,000/year","  Updated 13 Feb 2023, Added 17 Dec 2022 ", FOR RENT: LETTING Well maintained 4 units of 4 bedroom terrace house at ichie mike Ejez.. Read more ,,4 beds4 baths5 Toilets
3757,Sangotedo Ajah Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 30 Jan 2023 "," FOR RENT: Lovely spacious 4 bedroom terrace Duplex With private parking lots, borehole, .. Read more ",,4 beds4 baths5 Toilets
3758,Ikota Gra Lekki Lagos,"5,000,000","  Updated 13 Feb 2023, Added 19 Dec 2022 "," FOR RENT: Fully Detached 4 Bedroom Duplex For Rent Price: 5,000,000 Caution: 500,000 Le.. Read more ",Newly Built,4 beds4 baths5 Toilets
3759,Lekki Lagos,"100,000/year","  Updated 13 Feb 2023, Added 30 May 2022 ", FOR RENT: Kitchen available for rent 100k per month .. Read more ,,0 beds0 baths0 Toilets
3760,Agungi Lekki Lagos,"724,000/year","  Updated 13 Feb 2023, Added 20 Jan 2023 ", FOR RENT: Mini Flat for rent in Agungi Occupant relocating Upstairs Beautiful Well d.. Read more ,Serviced,1 beds1 baths1 Toilets
3761,Mongoro Beside Ikeja Mangoro Ikeja Lagos,"1,100,000/year","  Updated 13 Feb 2023, Added 11 Jan 2023 ", FOR RENT: Standard nice luxury executive 2bedroom flat apartment in a good location.. Read more ,,2 beds0 baths0 Toilets
3762,Osapa London Lekki Lagos,"4,000,000/year","  Updated 16 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Luxury 4 Bedroom duplex available for rent at Osapa Lekki Lagos. Features: A.. Read more,Newly Built,4 beds4 baths5 Toilets
3763,Ajayi Road Ogba Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 20 Jan 2023 ", FOR RENT: This Beautiful 3 bedroom flat is a sight to behold. Its an upstairs flat with ow.. Read more ,Newly Built,3 beds3 baths4 Toilets
3764,Abaranje Ikotun Igando Lagos,"600,000/year","  Updated 13 Feb 2023, Added 12 Jan 2023 ", FOR RENT: *Absolutely new house to let 6 blocks of new and standard 2 bedroom flats to .. Read more ,Newly Built,2 beds2 baths2 Toilets
3765,Agungi Lekki Lagos,"1,450,000/year","  Updated 13 Feb 2023, Added 30 Jan 2023 ", FOR RENT: Available for rent in Greenville estate agungi Rent 1.450M Agency 150k .. Read more ,,1 beds1 baths1 Toilets
3766,Ilaje Ajah Lagos,"1,400,000/year","  Updated 13 Feb 2023, Added 27 Jan 2023 ", FOR RENT: 2 bedroom House for rent Ogoyo Express Ilaje Ajah Lagos.. Read more ,Furnished,2 beds2 baths3 Toilets
3767,Igbo Efon Lekki Lagos,"1,000,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Size of unit - Studio Apartment (E8) Location: Igbo Efon Lekki. Descripti.. Read more ,Serviced,1 beds1 baths1 Toilets
3768,Lekki Lagos,"6,000,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 "," FOR RENT: Large and spacious 3 bedroom Fully Furnished apartment for rent @ Salem, Lekki.. Read more ",FurnishedServiced,3 beds3 baths4 Toilets
3769,Gbanko Badagry Badagry Lagos,"40,000,000/year","  Updated 13 Feb 2023, Added 05 Feb 2023 ", FOR RENT: A FENCED AND GATED DRY LAND* *SIZE*; (Six) *6Acres* *WITH 2DOOMS SECURITY HOU.. Read more ,,0 beds0 baths0 Toilets
3770,Apapa Lagos,"33,000/day","  Updated 13 Feb 2023, Added 22 Jul 2022 "," FOR RENT: 50,000MT tanker vessel that can carry 20,000 to 40,000MT worth of PMS/AGO/DPP is.. Read more ",,0 beds0 baths0 Toilets
3771,Chevron Lekki Lagos,"8,500,000/year","  Updated 13 Feb 2023, Added 07 Feb 2023 ", FOR RENT: TO LET/LEASE: Beautiful and spacious furnished 4-bedroom detached house with top.. Read more ,,4 beds4 baths4 Toilets
3772,"Along Main Moniya Alabata Road Near Railway Terminal Area, Moniya Ibadan Oyo","1,000,000","  Updated 18 Feb 2023, Added 17 Dec 2022 ", FOR SALE: ????? ????????: A PLOT OF LAND ALONG TILED ROAD NEAR RAILWAY TERMINAL MONIYA IBA.. Read more,, beds baths Toilets
3773,Lekki Scheme 2 Ajah Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 25 Jan 2023 ", FOR RENT: Newly Built 3 Bedroom flat at Lekki scheme 2 Rent #2m Agency 10% Legal 10% C.. Read more ,,3 beds3 baths4 Toilets
3774,"E, Mac Yoroki Street, Off Gbola Salami Street, Agungi Lekki Lagos","6,000,000/year","  Updated 13 Feb 2023, Added 11 Jan 2023 "," FOR RENT: *FOR SALE OR TO LET *Location:* E, Mac-Yoroki Street, Off Gbola Salami Street.. Read more ",,4 beds4 baths5 Toilets
3775,Lekki Scheme 2 Ajah Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 24 Jan 2023 ", FOR RENT: 3 bedroom House for rent Lekki Scheme 2 Ajah Lagos.. Read more ,Serviced,3 beds3 baths4 Toilets
3776,Agungi Lekki Lagos,"2,800,000/year","  Updated 13 Feb 2023, Added 08 Feb 2023 "," FOR RENT: Rent Alert 3 Bedroom Apartment With a bq Location: Agungi, Lekki . Lagos .. Read more ",ServicedNewly Built,3 beds3 baths3 Toilets
3777,Oniru Victoria Island Lagos,"10,000,000/year","  Updated 13 Feb 2023, Added 28 Dec 2022 ", FOR RENT: Brand New 4-Bedroom Terrace Duplex Feature!! Air Conditioners Fully Fitt.. Read more ,Serviced,4 beds4 baths5 Toilets
3778,Ayobo Ipaja Lagos,"800,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 "," FOR RENT: Superb 3 bedroom flat apartment, with wardrobe, kitchen cabinet, all tiles floor.. Read more ",FurnishedServiced,3 beds4 baths4 Toilets
3779,Marshy Hill Estate Lekki Lagos,"1,500,000","  Updated 13 Feb 2023, Added 07 Dec 2022 "," FOR RENT: 3 Bedroom Apartment For Rent Price: 1,500,000 Caution: 200,000 Agency: 150,0.. Read more ",, beds baths Toilets
3780,Rafiu Williams Street Off Adisabasual Adelabu Surulere Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Lovely spacious 2 Bedroom Duplex all rooms ensuite + guest toilet with massive .. Read more ,,2 beds2 baths3 Toilets
3781,Igbo Efon Lekki Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 20 Jul 2022 ", FOR RENT: Spacious shop with toilet Upstairs facing a major road Rent 1.2 Legal 120 Ag.. Read more ,,0 beds0 baths1 Toilets
3782,Estate Lekki Scheme 2 Ajah Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 19 Jan 2023 ", FOR RENT: Newly Built 2 Bedroom flat at Lekki scheme 2 Rent #2m Agency 10% Legal 10% C.. Read more ,,3 beds2 baths2 Toilets
3783,Osapa London Lekki Lagos,"8,000,000/year","  Updated 13 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Luxurious 4 bedroom duplex at Address Home with 24hrs power supply along Castle .. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
3784,Osapa London Lekki Lagos,"4,000,000/year","  Updated 16 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Luxury 4 Bedroom duplex available for rent at Osapa Lekki Lagos. Features: A.. Read more,Newly Built,4 beds4 baths5 Toilets
3785,Oral Estate Lekki Lagos,"5,000,000/year","  Updated 13 Feb 2023, Added 05 Jan 2023 ", FOR RENT: JUST IN FOR RENT SPACIOUS 4BEDROOM SEMI DETACHED WITH BQ IN *SWIZZ GARDENS ES.. Read more ,Newly Built,4 beds4 baths5 Toilets
3786,Estate Ikota Lekki Lagos,"4,000,000/year","  Updated 13 Feb 2023, Added 28 Jan 2023 ", FOR RENT: 4 bedroom terrace duplex Orchid road in an estate Lekki Lagos Rent 4m Agency.. Read more ,,4 beds4 baths5 Toilets
3787,Lekki Right Lekki Phase 1 Lekki Lagos,"8,000,000/year","  Updated 13 Feb 2023, Added 29 Dec 2022 ", FOR RENT: Brand new fully furnished 4bedrm terrace duplex in Lekki phase1. Rent. N8m .. Read more ,FurnishedServicedNewly Built,4 beds4 baths5 Toilets
3788,Close To Eko Hotel Eko Atlantic Victoria Island Lagos,"5,700,000/year","  Updated 13 Feb 2023, Added 16 Jan 2023 ", FOR RENT: *Office space for lease Commercial office space of 115 sqm available with offic.. Read more ,,0 beds0 baths0 Toilets
3789,Amule Ipaja Ipaja Lagos,"600,000/year","  Updated 13 Feb 2023, Added 25 Sep 2022 ", FOR RENT: Executive standard luxury new mini flat in a good location of Amule ipaja. Agree.. Read more ,Newly Built, beds baths Toilets
3790,Egbeda Alimosho Lagos,"1,500,000/year","  Updated 13 Feb 2023, Added 27 Jan 2023 ", FOR RENT: Just out now My direct brief 3 bedrooms at unity estate egbeda-idimu road Lago.. Read more ,FurnishedServiced,3 beds3 baths3 Toilets
3791,Chevron Lekki Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Rent Alert 3-Bedroom Apartment With a bq Rent: N3Million Agency: 10% .. Read more ,ServicedNewly Built,3 beds3 baths3 Toilets
3792,"Eleganza Gardens Estate, At Vgc Bus Stop Vgc Lekki Lagos","3,000,000/year","  Updated 13 Feb 2023, Added 18 Dec 2022 ", FOR RENT: 3 Bedroom apartment FOR RENT!! ! We have 3 Bedroom flat ( UP and DOWN FLAT A.. Read more ,Serviced,3 beds3 baths4 Toilets
3793,Soluyi Gbagada Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 "," FOR RENT: Decent spacious 4 bedrooms terrace duplex 4t 3b, with ante-room, 3 occupants to .. Read more ",Newly Built,4 beds4 baths4 Toilets
3794,Adeniyi Jones Ikeja Lagos,"2,500,000,000","  Updated 19 Feb 2023, Added 13 Sep 2022 ", FOR SALE: 13 plots at Adeniji Jones IKEJA Lagos with C of O Document price #2.5 Billion As.. Read more,,0 beds0 baths0 Toilets
3795,Thomas Estate Ajah Lagos,"1,800,000/year","  Updated 13 Feb 2023, Added 06 Jan 2023 ", FOR RENT: *BRAND NEW TOPNOTCH 2 BEDROOM FLAT AVAILABLE FOR IMMEDIATE RENT.* FEATURES; .. Read more ,,2 beds2 baths2 Toilets
3796,Thomas Estate Ajah Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 06 Feb 2023 "," FOR RENT: 3 bedroom Flat at Unity Homes, Thomas Estate. There are just 3 apartments in the.. Read more ",Furnished,3 beds3 baths4 Toilets
3797,Adeniyi Jones Ikeja Lagos,"10,000,000/year","  Updated 13 Feb 2023, Added 09 Aug 2022 ", FOR RENT: New luxury standard commercial building 5 bedroom fully detached duplex in a goo.. Read more ,Furnished,0 beds0 baths0 Toilets
3798,Ligali Ayorinde Victoria Island Lagos,"15,000,000/year","  Updated 13 Feb 2023, Added 24 Dec 2022 ", FOR RENT: 5- Bedroom Semi-detached Duplex With 2 Rooms BQ Feature!! Spacious Bedrooms.. Read more ,, beds baths Toilets
3799,Estate Sangotedo Ajah Lagos,"1,000,000/year","  Updated 13 Feb 2023, Added 21 Jan 2023 ", FOR RENT: Brand new 2 Bedroom All Ensuite Apartment in an Estate Features +POP Catch l.. Read more ,Newly Built,2 beds2 baths3 Toilets
3800,Agungi Lekki Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 06 Jan 2023 "," FOR RENT: QUICK LEASE: 3 BEDROOM APARTMENT IN A GATED AND SECURED ESTATE AT AGUNGI, LEKKI .. Read more ",,3 beds3 baths3 Toilets
3801,Estate Sangotedo Ajah Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 18 Jan 2023 ", FOR RENT: Well maintained 3bedroom flat Sangotedo Ajah *Grounds floor* . Rent is 1.2m.. Read more ,,3 beds3 baths4 Toilets
3802,Off Brown Rd Aguda Surulere. Aguda Surulere Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 05 Jan 2023 ", FOR RENT: TO-LET. A NEWLY BUILT SPECTACULAR 12 UNITS OF 2-BEDROOM FLAT WITH ALL ROOMS.. Read more ,Newly Built,2 beds2 baths3 Toilets
3803,Off Admiralty Lekki Phase 1 Lekki Lagos,"90,000/year","  Updated 13 Feb 2023, Added 28 Jan 2023 "," FOR RENT: Dew international Complex,lekki is a purpose built office accommodation on three.. Read more ",Serviced,0 beds0 baths2 Toilets
3804,Ikeja Gra Ikeja Lagos,"15,000,000/year","  Updated 13 Feb 2023, Added 18 Dec 2022 ", FOR RENT: Luxury standard 4-bedroom terrace duplex with bq swimming pool and gym cctv WiFi.. Read more ,,4 beds0 baths0 Toilets
3805,Lekki Lagos,"10,000,000/year","  Updated 13 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Property description: 5 bedroom fully detached house with 2 rooms bq in lekki.. Read more ,,5 beds5 baths6 Toilets
3806,Osapa London Lekki Lagos,"4,000,000/year","  Updated 16 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Luxury 4 Bedroom duplex available for rent at Osapa Lekki Lagos. Features: A.. Read more,Newly Built,4 beds4 baths5 Toilets
3807,Allen Avenue Ikeja Lagos,"1,600,000/year","  Updated 13 Feb 2023, Added 25 Jan 2023 "," FOR RENT: Newly renovated 3 bedroom flat apartment, with wardrobe, kitchen cabinet, all ti.. Read more ",FurnishedServicedNewly Built,3 beds4 baths4 Toilets
3808,Off Lekki Epe Expressway Ajah Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 06 Feb 2023 ", FOR RENT: 3 bedroom House for rent Besides Royal Garden Off Lekki-Epe Expressway Ajah Lago.. Read more ,FurnishedNewly Built,3 beds3 baths4 Toilets
3809,Ikota Lekki Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 15 Dec 2022 ", FOR RENT: Rent Alert 2-Bedroom Terrace Duplex Rent: N3Million Agency: 10% Le.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
3810,Agungi Lekki Lagos,"2,800,000/year","  Updated 13 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Rent Alert 2Bedroom Apartment Location: Agungi Rent: 2.8Million A.. Read more ,Serviced,2 beds2 baths2 Toilets
3811,Lekki Lagos,"4,500,000/year","  Updated 13 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Rent Alert 3 Bedroom Apartment Location: Lekki Phase 1 Rent: 4.5Milli.. Read more ,ServicedNewly Built,3 beds3 baths4 Toilets
3812,Ikate Lekki Lagos,"4,000,000/year","  Updated 13 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Rent Alert 2-Bedroom Apartment Rent: 4Million Agency: 10% Legal: 1.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
3813,Igbo Efon Lekki Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 10 Jun 2022 "," FOR RENT: Size of unit - Big Studio Description: House is fitted with a gym, Sit-out.. Read more ",,0 beds0 baths0 Toilets
3814,Off Onike Iwaya Road Yaba Lagos,"4,000,000/year","  Updated 13 Feb 2023, Added 01 Jan 2023 ", FOR RENT: Luxury built and tastefully finished Fully Detached 4bedroom Duplex +1rm det. bq.. Read more ,,4 beds5 baths6 Toilets
3815,Ajah Lagos,"1,800,000/year","  Updated 13 Feb 2023, Added 13 Jan 2023 "," FOR RENT: *RENT REDUCED FOR QUICK LETTING:DIRECT BRIEF-FOR LEASE AT SANGOTEDO, AJAH A S.. Read more ",,3 beds3 baths3 Toilets
3816,Ikota Gra Ikota Lekki Lagos,"3,500,000/year","  Updated 18 Feb 2023, Added 07 Dec 2022 ", FOR RENT: Luxury 4 Bedroom Duplex available for rent at Ikota GRA Lekki Lagos. Features.. Read more,,4 beds4 baths5 Toilets
3817,Major Road Lekki Lagos,"4,500,000/year","  Updated 13 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Commercial purpose office space/ shop space at Lekki phrase 1 on a major road R.. Read more ,,0 beds0 baths1 Toilets
3818,Ologolo Lekki Lagos,"5,000,000/year","  Updated 13 Feb 2023, Added 08 Feb 2023 ", FOR RENT: Rent Alert 4 Bedroom Semi Detached Duplex Location: Ologolo Rent: 5M.. Read more ,Newly Built,4 beds4 baths5 Toilets
3819,Osapa London Lekki Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 25 Jan 2023 ", FOR RENT: Spacious 3-Bedroom Flat Features!!! -All Rooms En-suite -Spacious Bedrooms .. Read more ,,3 beds3 baths4 Toilets
3820,Dolphin Estate Ikoyi Lagos,"6,000,000/year","  Updated 13 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Location: Dolphin extension 2 Units of 3bedroom Flat Rent: 6Million Naira Ser.. Read more ,Serviced,3 beds3 baths4 Toilets
3821,Road 48 Lekki Scheme 2 Ajah Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 05 Jan 2023 ", FOR RENT: 4 bedroom House for rent Road 48 Lekki Scheme 2 Ajah Lagos.. Read more ,Furnished,4 beds4 baths5 Toilets
3822,Isheri Magodo Kosofe Ikosi Lagos,"1,500,000/year","  Updated 13 Feb 2023, Added 03 Jun 2022 ", FOR RENT: letting letting a newly renovated 4bedroom flat 3toilet and 3baths with ta.. Read more ,,0 beds0 baths0 Toilets
3823,Abaranje Ikotun Igando Lagos,"400,000/year","  Updated 13 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Executive Mini flat at abaranje ikotun lagos 2 toilets and 2 bathroom #400k 1 y.. Read more ,,1 beds2 baths2 Toilets
3824,Baruwa Ipaja Lagos,"900,000/year","  Updated 13 Feb 2023, Added 15 Jan 2023 "," FOR RENT: Newly built 2 bedroom flat apartment, with wardrobe, kitchen cabinet, all tiles .. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
3825,Lekki Phase 1 Lekki Lagos,"1,500,000/year","  Updated 13 Feb 2023, Added 10 May 2022 ", FOR RENT: For rent Shops on ground floor and upper floors ????????????????Location: .. Read more ,,0 beds0 baths0 Toilets
3826,Ikota Lekki Lagos,"1,800,000/year","  Updated 13 Feb 2023, Added 13 Jan 2023 ", FOR RENT: Nicely renovated 2 bedroom flat available for rent in a very secured estate .. Read more ,,2 beds2 baths2 Toilets
3827,Ikota Lekki Lagos,"3,200,000/year","  Updated 13 Feb 2023, Added 24 Jan 2023 "," FOR RENT: _*CHELSEA HEIGHTS APARTMENTS *1. Base rent: 2 bedroom apartments - #3,200,00.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
3828,Ikota Lekki Lagos,"3,000,000","  Updated 14 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Newly built 3 bedroom terrace duplex in a new serviced estate by VGC. It is full.. Read more,ServicedNewly Built,3 beds3 baths4 Toilets
3829,Oniru Victoria Island Lagos,"6,000,000/year","  Updated 13 Feb 2023, Added 05 Feb 2023 "," FOR RENT: 3bedroom apartment with BQ, swimming pool and gym at vi Rent: 6m Service charg.. Read more ",Serviced,3 beds3 baths4 Toilets
3830,Ibeju Lekki Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 09 Feb 2023 ", FOR RENT: 3 bedroom House for rent Beachwood Estate Ibeju-Lekki Lagos.. Read more ,Newly Built,3 beds4 baths4 Toilets
3831,Eleganza Gardens At Vgc Bus Stop Vgc Lekki Lagos,"2,800,000/year","  Updated 13 Feb 2023, Added 04 Feb 2023 ", FOR RENT: 2 Bedroom apartment for rent!! ! We have 2 Bedroom flat ( upstair flat Avai.. Read more ,Serviced,2 beds2 baths3 Toilets
3832,Bera Estate Chevron Drive Chevron Lekki Lagos,"4,500,000/year","  Updated 13 Feb 2023, Added 30 Dec 2022 ", FOR RENT: Well-built 4-bedroom semi-detached duplex in bera estate in chevron. Very spacio.. Read more ,,4 beds4 baths5 Toilets
3833,Igbo Efon Lekki Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Size of unit - Mini flat (E3B) Location: Igbo Efon Description: House is .. Read more ,Serviced,1 beds1 baths1 Toilets
3834,Off Admiralty Way Lekki Phase 1 Lekki Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 19 Jan 2023 "," FOR RENT: Spacious, Lovely 2 Bedreoom apartment Upstairs. Off admiralty way, Lekki Phase1.. Read more ",Serviced,2 beds2 baths3 Toilets
3835,Vgc Lekki Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 12 Jan 2023 ", FOR RENT: Well maintained 3 Bedroom Bungalow at Thomas Estate Lekki Ajah Lagos Rent #2m .. Read more ,,3 beds3 baths4 Toilets
3836,Ikate Lekki Lagos,"6,500,000/year","  Updated 13 Feb 2023, Added 31 Jan 2023 "," FOR RENT: 3 bedroom flat apartment, all rooms ensuite. 3rd floor, with lift. Rent is 6.5.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
3837,Road 48 Lekki Scheme 2 Ajah Lagos,"3,000,000/year","  Updated 13 Feb 2023, Added 06 Jan 2023 "," FOR RENT: Nice road, 18hours light .. Read more ",Furnished,4 beds4 baths5 Toilets
3838,Ajao Estate Isolo Lagos,"120,000,000","  Updated 19 Feb 2023, Added 12 Sep 2022 "," FOR SALE: NEWLY BUILT 4 BEDROOM TERRACE DUPLEX, 2-ROOMS BQ, ALL ROOMS ENSUIT, POP CEILING,.. Read more",,4 beds0 baths0 Toilets
3839,Beside Good Luck Ogudu Orike Ogudu Lagos,"1,200,000/year","  Updated 13 Feb 2023, Added 21 Jan 2023 ", FOR RENT: Neatly 2bedroom flat with ceiling pop in a secure estate fence round with gate a.. Read more ,,2 beds2 baths2 Toilets
3840,Lekki Lagos,"6,500,000/year","  Updated 13 Feb 2023, Added 15 Jan 2023 ", FOR RENT: luxury 3 maisonette with bq at Lekki phase 1 Rent 6.5m service charge 1.5m.. Read more ,Serviced,3 beds3 baths4 Toilets
3841,Lagos Homes Gbaja Surulere Lagos,"2,000,000/year","  Updated 13 Feb 2023, Added 02 Feb 2023 ", FOR RENT: Executive newly built 2bedroom flat upstairs and downstairs available With all.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
3842,Ilaje Ajah Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 27 Jan 2023 ", FOR RENT: 4 bedroom House for rent Ogoyo Express Ilaje Ajah Lagos.. Read more ,Furnished,4 beds4 baths5 Toilets
3843,Bera Estate Chevron Lekki Lagos,"2,500,000/year","  Updated 13 Feb 2023, Added 09 Jan 2023 ", FOR RENT: 2bed flats available for rent inside Bera estate. Price:2.5m . Service charge .. Read more ,,2 beds0 baths0 Toilets
3844,Off Oyadiran Estate Makoko Sabo Yaba Lagos,"1,300,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Luxury 2bed room flat yaba Features-pop ceiling Water heater Marbe tiles Parki.. Read more ,Newly Built,2 beds2 baths3 Toilets
3845,Adeola Odeku Victoria Island Lagos,"7,000,000/year","  Updated 13 Feb 2023, Added 03 Feb 2023 ", FOR RENT: Very Spacious 3 -Bedroom Apartment Feature!!! 1 Room BQ 24hrs Security 24.. Read more ,Serviced,3 beds3 baths4 Toilets
3846,Ologolo Lekki Lagos,"5,000,000/year","  Updated 13 Feb 2023, Added 24 Jan 2023 ", FOR RENT: Spacious king size 4 bedroom semi detached duplex in off Spg road ologolo Rent.. Read more ,Newly Built,4 beds4 baths5 Toilets
3847,Ebute Metta Yaba Lagos,"2,200,000/year","  Updated 13 Feb 2023, Added 01 Feb 2023 ", FOR RENT: Luxury built & Tastefully Finished 3bedroom rent as well as Mini flat same place.. Read more ,Newly Built,3 beds3 baths4 Toilets
3848,Orchid Estate Ikota Lekki Lagos,"2,100,000/year","  Updated 13 Feb 2023, Added 04 Feb 2023 ", FOR RENT: A 2 bedroom flat at Orchid in a serene estate Rent #2.1m Agency 10% Lejal 10%.. Read more ,Serviced,2 beds2 baths3 Toilets
3849,Ikota Lekki Lagos,"600,000","  Updated 13 Feb 2023, Added 02 Jun 2022 "," FOR RENT: Shops available for letting at Ikota, very close to mega chicken area. The spac.. Read more ",,0 beds0 baths0 Toilets
